date,formulas,page_id,rev_id
2005-11-28,"['F', 'F', 'F', '3x^2+1=0', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)\\cdots(x-a_n)+1', 'F', 'F', 'F', 'F', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'F']",1018,29474476
2005-12-02,"['F', 'F', 'F', '3x^2+1=0', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)', '(x-a_n)+1', 'F', 'F', 'F', 'F', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'F']",1018,29917178
2005-12-04,"['F', 'F', 'F', '3x^2+1=0', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)', '(x-a_n)+1', 'F', 'F', 'F', 'F', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'a', 'F', 'n', 'a', 'n', 'F', 'x^n-a=0', 'F', 'n', 'n', 'x^n-a', 'F', 'F']",1018,30121296
2005-12-14,"['F', 'F', 'F', '3x^2+1=0', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)', '(x-a_n)+1', 'F', 'F', 'F', 'p(x)', 'n', 'F', 'k', 'x_1', 'x_2', 'x_n', 'F', 'p(x)=k(x-x_1)(x-x_2)', '(x-x_n)', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'a', 'F', 'n', 'a', 'n', 'F', 'x^n-a=0', 'F', 'n', 'n', 'x^n-a', 'F', 'F']",1018,31313921
2005-12-28,"['F', '1', 'F', 'F', '3x^2+1=0', '3', '1', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)', '(x-a_n)+1', 'F', 'F', 'F', 'p(x)', 'n', '1', 'F', 'k', 'x_1', 'x_2', 'x_n', 'F', 'p(x)=k(x-x_1)(x-x_2)', '(x-x_n)', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'a', 'F', 'n', 'a', 'n', 'F', 'x^n-a=0', 'F', 'n', 'n', 'x^n-a', 'F', 'F']",1018,32978198
2006-04-14,"['F', '1', 'F', 'F', '3x^2+1=0', 'F', 'a_1', 'a_2, \\dots, a_n', 'F', '(x-a_1)(x-a_2) \\dots (x-a_n)+1', 'F', 'F', 'F', 'p(x)', 'n \\ge 1', 'F', 'k, x_1, x_2, \\dots, x_n', 'F', 'p(x)=k(x-x_1)(x-x_2) \\cdots (x-x_n).\\,', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'a', 'F', 'n', 'a', 'n', 'F', 'x^n-a=0', 'F', 'n', 'n', 'x^n-a', 'F', 'F']",1018,48478698
2006-04-14,"['F', '1', 'F', 'F', '3x^2+1=0', 'F', 'a_1', 'a_2, \\dots, a_n', 'F', '(x-a_1)(x-a_2) \\cdots (x-a_n)+1', 'F', 'F', 'F', 'p(x)', 'n \\ge 1', 'F', 'k, x_1, x_2, \\dots, x_n', 'F', 'p(x)=k(x-x_1)(x-x_2) \\cdots (x-x_n).\\,', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'a', 'F', 'n', 'a', 'n', 'F', 'x^n-a=0', 'F', 'n', 'n', 'x^n-a', 'F', 'F']",1018,48478727
2006-04-15,"['F', '1', 'F', 'F', '3x^2+1=0', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)', '(x-a_n)+1', 'F', 'F', 'F', 'p(x)', 'n', '1', 'F', 'k', 'x_1', 'x_2', 'x_n', 'p(x)=k(x-x_1)(x-x_2)', '(x-x_n)', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'a', 'F', 'n', 'a', 'n', 'F', 'x^n-a=0', 'F', 'n', 'n', 'x^n-a', 'F', 'F']",1018,48571234
2006-05-04,"['F', '1', 'F', 'F', '3x^2+1=0', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)', '(x-a_n)+1', 'F', 'F', 'F', 'p(x)', 'n', '1', 'F', 'k', 'x_1', 'x_2', 'x_n', 'F', 'p(x)=k(x-x_1)(x-x_2)', '(x-x_n)', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'a', 'F', 'n', 'a', 'n', 'F', 'x^n-a=0', 'F', 'n', 'n', 'x^n-a', 'F', 'F']",1018,51554124
2007-03-17,"['F', '1', 'F', 'F', '3x^2+1=0', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)\\cdots(x-a_n)+1\\,', 'F', 'F', 'F', 'p(x)', 'n', '1', 'F', 'k', 'x_1', 'x_2', 'x_n', 'F', 'p(x)=k(x-x_1)(x-x_2)', '(x-x_n)', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'a', 'F', 'n', 'a', 'n', 'F', 'x^n-a=0', 'F', 'n', 'n', 'x^n-a', 'F', 'F']",1018,115883855
2007-03-17,"['F', '1', 'F', 'F', '3x^2+1=0', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)\\cdots(x-a_n)+1\\,', 'F', 'F', 'F', 'p(x)', 'n', '1', 'F', 'k', 'x_1', 'x_2', 'x_n', 'F', 'p(x)=k(x-x_1)(x-x_2) \\cdots (x-x_n).\\,', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'a', 'F', 'n', 'a', 'n', 'F', 'x^n-a=0', 'F', 'n', 'n', 'x^n-a', 'F', 'F']",1018,115883998
2007-04-25,"['F', '1', 'F', 'F', 'x^2+1=0', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)\\cdots(x-a_n)+1\\,', 'F', 'F', 'F', 'p(x)', 'n', '1', 'F', 'k', 'x_1', 'x_2', 'x_n', 'F', 'p(x)=k(x-x_1)(x-x_2) \\cdots (x-x_n).\\,', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'a', 'F', 'n', 'a', 'n', 'F', 'x^n-a=0', 'F', 'n', 'n', 'x^n-a', 'F', 'F']",1018,125757592
2007-11-05,"['F', '1', 'F', 'F', 'x^2+1=0', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)\\cdots(x-a_n)+1\\,', 'F', 'F', 'F', 'p(x)', 'n', '1', 'F', 'k', 'x_1', 'x_2', 'x_n', 'F', 'p(x)=k(x-x_1)(x-x_2) \\cdots (x-x_n).\\,', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'a', 'F', 'n', 'a', 'n', 'F', 'x^n-a=0', 'F', 'n', 'n', 'x^n-a', 'F', 'F', 'F']",1018,169476249
2007-11-05,"['F', '1', 'F', 'F', 'x^2+1=0', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)\\cdots(x-a_n)+1\\,', 'F', 'F', 'F', 'p(x)', 'n', '1', 'F', 'k', 'x_1', 'x_2', 'x_n', 'F', 'p(x)=k(x-x_1)(x-x_2) \\cdots (x-x_n).\\,', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'n', 'F', 'n', 'n', 'x^n-1=0', 'x^n-a', 'F', 'F', 'F']",1018,169478978
2007-11-25,"['F', '1', 'F', 'F', 'x^2+1=0', 'F', 'a_1', 'a_2', 'a_n', 'F', '(x-a_1)(x-a_2)\\cdots(x-a_n)+1\\,', 'F', 'F', 'F', 'p(x)', 'n', '1', 'F', 'k', 'x_1', 'x_2', 'x_n', 'F', 'p(x)=k(x-x_1)(x-x_2) \\cdots (x-x_n).\\,', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'n', 'F', 'n', 'n', 'x^n-1', 'x^n-a', 'F', 'F', 'F']",1018,173661223
2007-12-03,"['F', '1', 'F', 'F', 'x^2+1=0', 'F', 'a_1', 'a_2', '\\ldots', 'a_n', 'F', '(x-a_1)(x-a_2)\\cdots(x-a_n)+1\\,', 'F', 'F', 'F', 'p(x)', 'n', '1', 'F', 'k', 'x_1', 'x_2', 'x_n', 'F', 'p(x)=k(x-x_1)(x-x_2) \\cdots (x-x_n).\\,', 'F', 'n', 'F^n', 'x', 'F', 'a/(x-b)^n', 'n', 'a', 'b', 'F', 'F', 'n', 'F', 'n', 'n', 'x^n-1', 'x^n-a', 'F', 'F', 'F']",1018,175503629
